Video Title,Video Link,View Count,Description,Channel Title,Tag,Duration
Australia v India 2024-25 | First Test | Day Three,https://youtube.com/watch?v=jek9RyKqmlE,12669199,"India worked themselves into a strong position after two days and they will look to continue it on day three with Australia desperately looking for their way back into the game.

Download our app for exclusive content: https://app.cricket.com.au/
More #AUSvIND videos: https://www.cricket.com.au/video 
Get our latest Podcast here: https://www.cricket.com.au/podcasts

Follow us on Facebook: https://www.facebook.com/cricketcomau      
Follow us on Instagram: https://www.instagram.com/cricketcomau      
Follow us on X (Twitter): https://www.twitter.com/cricketcomau",cricket.com.au,['ausvind'],PT8M2S
Australia v India 2024-25 | Third Test | Day Two,https://youtube.com/watch?v=uIooIjWwjAc,6823658,"Steve Smith, Travis Head and Jasprit Bumrah had some incredible performances in a brilliant day of cricket. 

Download our app for exclusive content: https://app.cricket.com.au/
More #AUSvIND videos: https://www.cricket.com.au/video 
Get our latest Podcast here: https://www.cricket.com.au/podcasts

Follow us on Facebook: https://www.facebook.com/cricketcomau      
Follow us on Instagram: https://www.instagram.com/cricketcomau      
Follow us on X (Twitter): https://www.twitter.com/cricketcomau",cricket.com.au,"['cricket', 'cricket australia', 'cricket highlights', 'cricketcomau']",PT8M8S
Australia v India 2024-25 | Second Test | Day Three,https://youtube.com/watch?v=qYmzdc-8238,6089509,"India had their backs against the wall entering the third day of the Adelaide day-night Test match with Australia looking to continue their good record at the venue and level the series.

Watch Pat Cummins' five-wicket haul: https://youtu.be/hBhP9yonO4Y

Download our app for exclusive content: https://app.cricket.com.au/
More #AUSvIND videos: https://www.cricket.com.au/video 
Get our latest Podcast here: https://www.cricket.com.au/podcasts

Follow us on Facebook: https://www.facebook.com/cricketcomau      
Follow us on Instagram: https://www.instagram.com/cricketcomau      
Follow us on X (Twitter): https://www.twitter.com/cricketcomau",cricket.com.au,['ausvind'],PT7M56S
Australia v India 2024-25 | Third Test | Day One,https://youtube.com/watch?v=ArA-0ktjrh8,3020472,"The first day of play at the Gabba was heavily impacted by rain, but Usman Khawaja got out to a decent start in the Third Test. 

Download our app for exclusive content: https://app.cricket.com.au/
More #AUSvIND videos: https://www.cricket.com.au/video 
Get our latest Podcast here: https://www.cricket.com.au/podcasts

Follow us on Facebook: https://www.facebook.com/cricketcomau      
Follow us on Instagram: https://www.instagram.com/cricketcomau      
Follow us on X (Twitter): https://www.twitter.com/cricketcomau",cricket.com.au,"['cricket', 'cricket australia', 'cricket highlights', 'cricketcomau']",PT3M41S
Kohli snaps run drought with 30th Test hundred | Australia v India 2024-25,https://youtube.com/watch?v=IEQixSBYTf0,2196428,"Virat Kohli returned to Perth Stadium and hit yet another Test hundred in Australia.

Download our app for exclusive content: https://app.cricket.com.au/
More #AUSvIND videos: https://www.cricket.com.au/video 
Get our latest Podcast here: https://www.cricket.com.au/podcasts

Follow us on Facebook: https://www.facebook.com/cricketcomau      
Follow us on Instagram: https://www.instagram.com/cricketcomau      
Follow us on X (Twitter): https://www.twitter.com/cricketcomau",cricket.com.au,['ausvind'],PT2M26S
Every ball from Jasprit Bumrah's lethal opening day showing | Australia v India 2024-25,https://youtube.com/watch?v=X0HTER4wHH4,3950129,"India captain Jasprit Bumrah took four wickets in a stunning display of fast bowling on the opening day of the 2024-25 Border- Gavaskar Trophy. He finished day one with figures of 10-3-17-4.

Download our app: https://app.cricket.com.au/
More #AUSvIND videos: https://www.cricket.com.au/video 
Get our latest Podcast here: https://www.cricket.com.au/podcasts
Follow us on Facebook: https://www.facebook.com/cricketcomau      
Follow us on Instagram: https://www.instagram.com/cricketcomau      
Follow us on X (Twitter): https://www.twitter.com/cricketcomau",cricket.com.au,['ausvind'],PT4M28S
India Claim Thrilling Win! | England v India - Day 5 Highlights | 2nd LV= Insurance Test 2021,https://youtube.com/watch?v=Y1J9_9-vNcU,54983748,"Go to ecb.co.uk to join We Are England Cricket Supporters for free and get priority access to tickets and much more!

Watch match highlights from Day 5 the 2nd LV= Insurance Test between England and India at Lord's.

This is the official channel of the ECB. Watch all the latest videos from the England Cricket Team and England and Wales Cricket Board. Including highlights, interviews, features getting you closer to the England team and county players.

Subscribe for more: http://www.youtube.com/subscription_center?add_user=ecbcricket

Featuring video from the England cricket team, Vitality Blast, Specsavers County Championship, Royal London One-Day Cup and more.",England & Wales Cricket Board,"['England', 'England vs. India', 'India', 'cricket', 'england cricket', 'england v india', 'eng v ind', 'virat kohli', 'england cricket highlights', 'india highlights', 'india cricket highlights', 'england v india highlights', 'england vs india test', 'england india', 'jimmy anderson', 'england india test', 'Day 5 Highlights', 'england v india - day 5 highlights', 'India Win', 'India at Lords', 'Jasprit Bumrah', 'क्रिकेट वीडियोज़', 'हाइलाइट्स', 'क्रिकेट', 'क्रिकेट हाइलाइट्स', 'भारत क्रिकेट', 'भारत क्रिकेट हाइलाइट्स']",PT15M52S
India’s bowlers fire on entertaining Boxing Day | Vodafone Test Series 2020-21,https://youtube.com/watch?v=v2bAEek6nc4,29241046,"Eleven wickets fell on the opening day of the second Vodafone Test as India responded to their defeat in Adelaide by rattling Australia’s batters.

Stream all the Test action via Kayo Sports: https://watch.cricket.com.au/     
Fixtures, news, videos for the #AUSvIND Tests: https://cricketa.us/AUSvIND-Tests   
Follow us on Facebook: https://www.facebook.com/cricketcomau    
Follow us on Instagram: https://www.instagram.com/cricketcomau    
Follow us on Twitter: https://www.twitter.com/cricketcomau",cricket.com.au,"['australia', 'india', 'cricket', 'test', 'boxing day', 'melbourne']",PT8M30S
Australia v India | WTC23 Final | Match Highlights,https://youtube.com/watch?v=gTo-lPOGPdg,9485171,"Match Highlights from the World Test Championship Final between Australia and India.

Subscribe to our YouTube channel 👉  @ICC 

Follow us for more 👇 
Website - http://www.icc-cricket.com
Facebook -  https://www.facebook.com/icc
Instagram -  http://www.instagram.com/icc
WhatsApp - https://whatsapp.com/channel/0029Va1l6bYElah0fPmOD40v
Threads - https://www.threads.net/@icc
TikTok -  https://www.tiktok.com/@icc
X -   http://twitter.com/icc

 
#ICC #Cricket",ICC,"['cricket', 'ICC', 'International Cricket Council', 'CWC', 'Cricket World Cup', 'World Cup', ""Women's Cricket"", ""Men's cricket"", 'cricket highlights', 'cricket fixtures', 'U19CWC', 'Cricket World', 'ICC Cricket World Cup', 'T20 World Cup', 'World T20 World Cup', ""Men's Cricket World Cup"", ""Men's T20 World Cup"", 'Australia', 'England', 'India', 'Afghanistan', 'Sri Lanka', 'Ireland', 'wtc23 final', 'wtc final 2023', 'wtc final highlights', 'world test championship final 2023', 'world test championship final 2023 highlights']",PT12M2S
Aussies fight hard but India win gripping contest | First Domain Test,https://youtube.com/watch?v=B4t1izuBS-E,24146278,The Australia lower order pushed hard to make it a nail-biting finish but India's excellent bowling attack prevailed to give Virat Kohli's side a 1-0 lead in the Domain Test series,cricket.com.au,"['sp:ty=high', 'sp:dt=2018-12-06T00:00:00Z', 'sp:st=cricket', 'sp:li=icc', 'sp:ti:home=AUS', 'sp:ti:away=IND', 'Australia', 'India', 'First Test', 'Adelaide', '2018', 'highlights']",PT5M49S
Jasprit Bumrah ने धो डाला |India vs Australia| BGT|1st test Highlights| kohli | KL rahul | Rj Raunak,https://youtube.com/watch?v=I2LIL3zQ6bo,561823,"#bordergavaskartrophy #indvsaus #teamindia 
------------------------- 
Subscribe The Raunac Podcast : 
http://www.youtube.com/@TheRaunacPodcast-fz1px
--------------------------
🔗 Join Us On TELEGRAM: https://t.me/rjraunacofficial
🔗 Follow us on INSTAGRAM : https://instagram.com/rjraunac?utm_me...
Facebook : https://www.facebook.com/RJRaunac
Twitter : https://twitter.com/rjraunac
_______________________-
Subscribe RJ Raunac : https://www.youtube.com/@UCKop7_gs7xq5tbrDDYuplhA 
---------------------------------------
Crico Instagram Link: https://instagram.com/cricoindia?utm_medium=copy_link 
________________________

Follow us on instagram here:  https://www.instagram.com/rjraunac/ 

Subscribe RJ Raunac : https://www.youtube.com/@UCKop7_gs7xq5tbrDDYuplhA 
You're watching Run Tantra with RJ Raunak aka Baua 

Follow Us On : 

Facebook : https://www.facebook.com/RJRaunac
Twitter : https://twitter.com/rjraunac
Pinterest : https://in.pinterest.com/RJRaunac/ 

SUBSCRIBE ASLI BAUAA CHANNEL: 
https://www.youtube.com/channel/UCH_zM59722ZW4XwCWQFnDmw 
__________________________________
For Brand collaboration: namaste@tushyamedia.com
__________________________________
#jaspritbumrah #klrahul #viratkohli  #indvsaus #bordergavaskartrophy   #rohitsharma #viratkohli  #gautamgambhir  #bcci #jayshah   #testseries #CricketAnalysis  #CricketFans   #CricketWorld #CricketHappenings #CricketDebates  #CricketCaptains #TeamDynamics  #CricketThoughts #CricketMindset #CricketStories #SportsAnalysis  #CricketShowdown #T20Craze #CricketFever  #CricketFansUnite #CricketBalance #PlayerRatings  #CricketDilemmas #CaptaincyDecisions #CricketLeaders #T20CricketLeague #CricketWorld #IndianCricketTalent #CricketGlory #rjraunak #rjraunac",RJ Raunac No-Po,"['rj raunak', 'Rj Raunac', 'Rj Raunac No Po', 'Run Tantra', 'bauaa', 'border gavaskar trophy', 'ind vs aus', 'aus vs ind', 'ind vs aus test series', 'india vs australia live', 'ind vs aus test', 'india vs australia', 'jasprit bumrah', 'ind vs aus 2024', 'ind vs aus match live', 'ind vs aus live streaming', 'india vs australia live match today', 'ind vs aus 1st test', 'ind vs aus test live', 'live ind vs aus 2024', 'ind vs aus 1st test day 1', 'ind vs aus 1st test live', 'ind vs aus highlights day 1']",PT4M17S
Jaiswal announces himself with brilliant Perth century | Australia v India 2024-25,https://youtube.com/watch?v=Uq0hHlnizy8,1513171,"Indian opener Yashasvi Jaiswal has taken on the sharp Aussie attack on a difficult pitch to notch a century in his first match on Australian soil, eventually out for 161.

Download our app: https://app.cricket.com.au/
More #AUSvIND videos: https://www.cricket.com.au/video 
Get our latest Podcast here: https://www.cricket.com.au/podcasts

Follow us on Facebook: https://www.facebook.com/cricketcomau      
Follow us on Instagram: https://www.instagram.com/cricketcomau      
Follow us on X (Twitter): https://www.twitter.com/cricketcomau",cricket.com.au,"['ausvind', 'jaiswal']",PT3M47S
Tensions rise during Head v Siraj battle | Australia v India 2024-25,https://youtube.com/watch?v=jxqpjCGvyxk,2425438,"Mohammed Siraj, who had dropped Travis Head earlier in the day, was fired up when finally claiming his wicket, and was spoken to by umpires for his send off.

Download our app for exclusive content: https://app.cricket.com.au/
More #AUSvIND videos: https://www.cricket.com.au/video 
Get our latest Podcast here: https://www.cricket.com.au/podcasts

Follow us on Facebook: https://www.facebook.com/cricketcomau      
Follow us on Instagram: https://www.instagram.com/cricketcomau      
Follow us on X (Twitter): https://www.twitter.com/cricketcomau",cricket.com.au,['ausvind'],PT1M33S
India vs Australia 4th Test | BGT 2013 HD*720p50 Highlights | #cricket #indvsaus #crickethighlights,https://youtube.com/watch?v=bgNrnzGV19U,1220768,,Cricket Majestic,[],PT18M30S
Cricket World Cup 2023 Final | IND v AUS | Highlights,https://youtube.com/watch?v=0b8uGvvf_jE,1372063,"Intrigue and excitement as more than 90,000 fans witness the #CWC23 Final!

Match highlights as Australia faced India in Ahmedabad.

Subscribe to our YouTube channel 👉  @ICC 

Follow us for more 👇 
Website - http://www.icc-cricket.com
Facebook -  https://www.facebook.com/icc
Instagram -  http://www.instagram.com/icc
WhatsApp - https://whatsapp.com/channel/0029Va1l6bYElah0fPmOD40v
Threads - https://www.threads.net/@icc
TikTok -  https://www.tiktok.com/@icc
X -   http://twitter.com/icc

 
#ICC #Cricket",ICC,"['cricket', 'ICC', 'International Cricket Council', 'CWC', 'Cricket World Cup', 'World Cup', ""Women's Cricket"", ""Men's cricket"", 'cricket highlights', 'cricket fixtures', 'U19CWC', 'Cricket World', 'ICC Cricket World Cup', 'T20 World Cup', 'World T20 World Cup', ""Women's Cricket World Cup"", ""Men's Cricket World Cup"", ""Men's T20 World Cup"", ""Women's T20 World Cup"", 'Champions Trophy', 'Australia', 'England', 'India', 'Afghanistan', 'Sri Lanka', 'Ireland', 'Scotland', 'Namibia', 'South Africa', 'Zimbabwe', 'Nepal', 'bangladesh', 'pakistan', 'women cricket']",PT7M36S
Battered and bruised on day three of a brilliant Test | Second Domain Test,https://youtube.com/watch?v=rehzdFggVks,14126186,"Virat Kohli hit a spell-binding century before a contentious dismissal while India's pacers made life difficult for Australia's batsmen in a gripping day of good, hard Test match cricket",cricket.com.au,"['sp:ty=play', 'sp:dt=2018-12-14T02:20:00Z', 'sp:st=cricket', 'sp:li=icc', 'sp:ti:home=AUS', 'sp:ti:away=IND', 'Australia', 'India', 'Second Test', 'day three', 'Perth Stadium', 'highlights', '2018']",PT6M
Full highlights of Kohli's Perth classic,https://youtube.com/watch?v=J4OlMqUi0P4,10933052,"Enjoy extended highlights of Virat Kohli's century in the Perth Test, including his dismissal to a contentious low catch, in an epic battle between the India captain and the Australians",cricket.com.au,"['sp:ty=play', 'sp:dt=2018-12-14T02:20:00Z', 'sp:st=cricket', 'sp:li=icc', 'sp:ti:home=AUS', 'sp:ti:away=IND', 'Australia', 'India', 'Second Test', 'day three', 'Perth Stadium', '2018', 'Virat Kohli']",PT5M25S
Sameer Rizvi 201* off 97 Balls | Batting Highlights | Fastest Double Century In One Day Cricket,https://youtube.com/watch?v=GXYE63gyWk8,3664,"Here, is a glimpse of an historic innings of Sameer Rizvi who scored a double century off just 97 balls in Men's State A U23 match vs Tripura in Vadodara. 

#rizvi #csk #chennaisuperkings #ipl #vijayhazaretrophy #sameerrizvi #sameerrizvidoublecentury #doublecentury #fastest
#iplauction #ipl2025 #delhicapitals #dc #cricket #viral #cricketshorts #teamindia #bgt2024 #bgt #indvaus #ausvind #ausvsind #indvsaus #viratkohli #msdhoni #whistlepodu #yellove #rcb #highlights",CricDomestic,[],PT1M5S
Ind vs Aus Rivalry..💨🔥 | #shorts #sg,https://youtube.com/watch?v=I786-xxlCzs,1236186,,Cric Freak,[],PT22S
Prime Minister's XI v India 2024-25 | Tour match,https://youtube.com/watch?v=HQx6ParyBAA,7904094,"Rohit Sharma's India warm-up for the second Test in Adelaide with a 50-over fixture against the Prime Minister's XI at Manuka Oval.

Download our app: https://app.cricket.com.au/
More videos: https://www.cricket.com.au/video
Follow us on Facebook: https://www.facebook.com/cricketcomau
Follow us on Instagram: https://www.instagram.com/cricketcomau
Follow us on Twitter: https://www.twitter.com/cricketcomau",cricket.com.au,[],PT12M24S
BGT 2017 ☠️ #cricket #testcricket #indvsaus #bordergavaskartrophy,https://youtube.com/watch?v=8McMKdB5sp8,5806454,,Kashif CricBoi,[],PT1M
KL Rahul और Yashaswi Jaiswal ने Australia को धो डाला | IND vs AUS | BGT | Rj Raunak,https://youtube.com/watch?v=CmBjGegTBHI,647151,"#bordergavaskartrophy #indvsaus #teamindia 
------------------------- 
Subscribe The Raunac Podcast : 
http://www.youtube.com/@TheRaunacPodcast-fz1px
--------------------------
🔗 Join Us On TELEGRAM: https://t.me/rjraunacofficial
🔗 Follow us on INSTAGRAM : https://instagram.com/rjraunac?utm_me...
Facebook : https://www.facebook.com/RJRaunac
Twitter : https://twitter.com/rjraunac
_______________________-
Subscribe RJ Raunac : https://www.youtube.com/@UCKop7_gs7xq5tbrDDYuplhA 
---------------------------------------
Crico Instagram Link: https://instagram.com/cricoindia?utm_medium=copy_link 
________________________

Follow us on instagram here:  https://www.instagram.com/rjraunac/ 

Subscribe RJ Raunac : https://www.youtube.com/@UCKop7_gs7xq5tbrDDYuplhA 
You're watching Run Tantra with RJ Raunak aka Baua 

Follow Us On : 

Facebook : https://www.facebook.com/RJRaunac
Twitter : https://twitter.com/rjraunac
Pinterest : https://in.pinterest.com/RJRaunac/ 

SUBSCRIBE ASLI BAUAA CHANNEL: 
https://www.youtube.com/channel/UCH_zM59722ZW4XwCWQFnDmw 
__________________________________
For Brand collaboration: namaste@tushyamedia.com
__________________________________
#klrahul #yashasvijaiswal  #jaspritbumrah #klrahul #viratkohli  #indvsaus #bordergavaskartrophy   #rohitsharma #viratkohli  #gautamgambhir  #bcci #jayshah   #testseries #CricketAnalysis  #CricketFans   #CricketWorld #CricketHappenings #CricketDebates  #CricketCaptains #TeamDynamics  #CricketThoughts #CricketMindset #CricketStories #SportsAnalysis  #CricketShowdown #T20Craze #CricketFever  #CricketFansUnite #CricketBalance #PlayerRatings  #CricketDilemmas #CaptaincyDecisions #CricketLeaders #T20CricketLeague #CricketWorld #IndianCricketTalent #CricketGlory #rjraunak #rjraunac",RJ Raunac No-Po,"['rj raunak', 'Rj Raunac', 'Rj Raunac No Po', 'Run Tantra', 'bauaa', 'kl rahul', 'yashasvi jaiswal', 'ind vs aus 1st test day 2', 'ind vs aus test', 'yashasvi jaiswal batting highlights', 'ind vs aus test series', 'kl rahul batting highlights', 'india vs australia live match today', 'bgt', 'yashasvi jaiswal batting against ausralia today', 'kl rahul jaiswal 50 highlights', 'pak media crying india 172/0 & jaiswal & kl rahul batting in day 2', 'ind vs aus 1st test', 'kl rahul batting today against australia']",PT5M2S
Aussie bowlers take the honours on gripping opening day | Vodafone Test Series 2020-21,https://youtube.com/watch?v=4oTfQoj_Jrc,14807053,"Mitchell Starc set the tone with a wicket off the game's second ball, Nathan Lyon created plenty of chances before removing Cheteshwar Pujara, and Virat Kohli was run out to spark a mini-collapse against the new pink ball on an entertaining first day.

Stream all the Test action via Kayo Sports: https://watch.cricket.com.au/     
Fixtures, news, videos for the #AUSvIND Tests: https://cricketa.us/AUSvIND-Tests   
Follow us on Facebook: https://www.facebook.com/cricketcomau    
Follow us on Instagram: https://www.instagram.com/cricketcomau    
Follow us on Twitter: https://www.twitter.com/cricketcomau",cricket.com.au,"['Australia', 'India', 'Day one', 'First Test', 'highlights']",PT8M5S
Pink-ball king Starc dials in for career-best haul | Australia v India 2024-25,https://youtube.com/watch?v=x9fDpCSIffQ,748528,"Mitch Starc had his preferred pink ball in hand and was on from the first ball in Adelaide, taking 6-48 against India.

Watch the day one highlights: https://youtu.be/xgiiwsJ7mOk

Download our app for exclusive content: https://app.cricket.com.au/
More #AUSvIND videos: https://www.cricket.com.au/video 
Get our latest Podcast here: https://www.cricket.com.au/podcasts

Follow us on Facebook: https://www.facebook.com/cricketcomau      
Follow us on Instagram: https://www.instagram.com/cricketcomau      
Follow us on X (Twitter): https://www.twitter.com/cricketcomau",cricket.com.au,['ausvind'],PT2M9S
Local boy Head makes history with third Adelaide Oval ton | Australia v India 2024-25,https://youtube.com/watch?v=N78Ln0rFX9A,568166,"Travis Head made it three centuries in as many matches at the Adelaide Oval and dedicated this ton against India to his newborn baby Harrison. He is the first South Australian-born player to hit three Test tons at the venue.

Download our app for exclusive content: https://app.cricket.com.au/
More #AUSvIND videos: https://www.cricket.com.au/video 
Get our latest Podcast here: https://www.cricket.com.au/podcasts

Follow us on Facebook: https://www.facebook.com/cricketcomau      
Follow us on Instagram: https://www.instagram.com/cricketcomau      
Follow us on X (Twitter): https://www.twitter.com/cricketcomau",cricket.com.au,['ausvind'],PT4M8S
